Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2018-01-02,79.63351440429688,79.96705849746596,79.21658782218992,79.80028645088142,22483800
2018-01-03,80.00414276123047,80.15238776472695,79.65207148099255,79.7354539939262,26061400
2018-01-04,80.70826721191406,81.21785041657039,80.20795108426293,80.2264781695647,21912000
2018-01-05,81.70890045166016,81.9127337359785,81.00475103366277,81.21785139509797,23407100
2018-01-08,81.79228210449219,82.07023786548999,81.16225517244467,81.71815962573163,22113000
2018-01-09,81.7366943359375,82.20921630536547,81.40315024795407,82.13509382610056,19484300
2018-01-10,81.3660888671875,81.7089000316616,80.98622353185391,81.40315010675567,18652200
2018-01-11,81.60699462890625,81.6533158832143,80.8287226282087,81.6533158832143,17808900
2018-01-12,83.01527404785156,83.18204608933972,81.94978639771664,82.15361967828088,24271500
2018-01-16,81.85714721679688,84.11783360621475,81.54213724775836,83.4785395213067,36599700
2018-01-17,83.51558685302734,83.6452976502841,82.22773888832933,82.53348879702381,25621200
2018-01-18,83.47853088378906,84.0066411827232,83.07087138184382,83.20058218728668,24159700
2018-01-19,83.3858871459961,83.95105872437125,83.0708771875361,83.51559796050424,36875000
2018-01-22,84.87757110595703,84.88683818404301,83.14499507676949,83.38588962603892,23601600
2018-01-23,85.14624786376953,85.51685317936118,84.8127037866079,85.14624786376953,23412800
2018-01-24,85.07212829589844,86.56380961734833,84.84976792642335,85.74848355013388,33277500
2018-01-25,85.5446548461914,86.38777512114207,85.17404949808503,85.67436565772228,26383200
2018-01-26,87.14752197265625,87.14752197265625,85.77629123129032,86.27660744299187,29172200
2018-01-29,87.01781463623047,88.43537375852756,86.8325154698203,88.14815792997877,31569900
2018-01-30,85.92448425292969,86.77687831755085,85.33151877153608,86.44333435067868,38635100
2018-01-31,88.02767944335938,88.38901762337386,86.63791503754754,86.8602753632394,48756300
2018-02-01,87.33280181884766,89.00978202778941,86.7027749724357,87.82385080365108,47227900
2018-02-02,85.03507232666016,87.0641311464185,84.77565070140886,86.758381201497,47867800
2018-02-05,81.5328369140625,86.38774476925292,81.5328369140625,83.9046989986673,51031500
2018-02-06,84.6181411743164,84.7571190571447,78.98495993085177,80.50443542736794,67998600
2018-02-07,83.02454376220703,85.02580125492946,82.6446713511412,83.83986984165561,41107600
2018-02-08,78.76258850097656,83.27468603982992,78.53096108502038,83.11718109346958,55628700
2018-02-09,81.69964599609375,82.39452844432475,77.66932921009595,79.95780987059692,63499100
2018-02-12,82.57984161376953,83.18207458482159,81.4680323354511,82.21850324488048,35720300
2018-02-13,83.22837829589844,83.38588326780304,81.34756450429586,82.39451804947862,26407700
2018-02-14,84.53157806396484,84.69913351223678,82.29751488955714,82.39059967150519,34960900
2018-02-15,86.2536849975586,86.30953445055925,84.35472547448036,84.90393070075795,27823900
2018-02-16,85.63932037353516,87.03561364049497,85.45315077870644,86.05820551285719,30596900
2018-02-20,86.30953216552734,86.62602186003762,84.71775887992303,85.15526518861638,30911700
2018-02-21,85.16458892822266,86.90530396730752,85.16458892822266,86.55157885377781,26922500
2018-02-22,85.38796997070312,86.31883192258213,85.04354849181918,85.68584551122788,24392800
2018-02-23,87.556884765625,87.56619537493897,85.97442207412394,87.12868906206488,26329200
2018-02-26,88.8228530883789,88.8507778129382,87.73374621908404,87.87337694379423,30199800
2018-02-27,87.68721008300781,89.21382341289063,87.68721008300781,89.12073861997864,25869100
2018-02-28,87.28694915771484,89.0928241767089,87.1566290122117,88.28297147086909,31167300
2018-03-01,86.43053436279297,88.03161812211539,85.49036176423022,87.49171646338324,37135600
2018-03-02,86.61672973632812,86.70981453506987,84.57813926488375,85.24836117888819,32830400
2018-03-05,87.16593933105469,87.75237998385367,85.88135200029323,85.9558155818203,23901600
2018-03-06,86.86804962158203,87.95715655824588,86.51432458542766,87.81752582489854,22175800
2018-03-07,87.3707275390625,87.44519822027124,86.03959429559531,86.71912683327368,26716100
2018-03-08,87.90129089355469,88.52496667197553,87.28691862090409,87.75234957827716,25887800
2018-03-09,89.86540222167969,89.86540222167969,88.4318741464447,88.7018249302791,36937300
2018-03-12,90.07952880859375,90.48911043483581,89.40000340350821,89.82819914825458,26073700
2018-03-13,87.88269805908203,90.51703251820958,87.4731164448099,90.2936275931132,35387800
2018-03-14,87.36141204833984,88.8135618431315,87.03561171364495,88.54361096526584,32132000
2018-03-15,87.66860961914062,88.04095595069411,86.41194696432373,87.06354771810565,27611000
2018-03-16,88.0595474243164,88.78561867806164,87.42656095404116,88.1340180918579,49081300
2018-03-19,86.46778106689453,87.40795378910906,85.74170975540949,87.25901244218171,33344100
2018-03-20,86.69117736816406,87.28692849282646,86.57016786224982,86.61671380401647,23075200
2018-03-21,86.08612060546875,87.54757365664939,85.83478388921287,86.50500566334397,24457100
2018-03-22,83.58211517333984,85.40660417598674,83.46110564781794,84.95978720913364,38604700
2018-03-23,81.1525650024414,84.20579181149219,81.05948020497812,83.31216497239792,44068900
2018-03-26,87.2962417602539,87.5010325472025,84.14993059343709,84.34541077136608,56396800
2018-03-27,83.28421783447266,88.56220326177399,82.39059123582214,88.37603371693913,56569000
2018-03-28,83.20974731445312,84.92253695782254,82.72570223592804,83.61001822823677,52501100
2018-03-29,84.95977020263672,85.90925340392236,82.28820085227822,83.94513404842428,45867500
2018-04-02,82.39990234375,84.59673726465813,81.45973682310971,84.21508753196268,48515400
2018-04-03,83.50762176513672,83.82411851007548,81.81345335939486,83.3866122725526,37213800
2018-04-04,85.94650268554688,86.34677368793676,81.66453828211301,81.77623719316122,35560000
2018-04-05,85.9930419921875,86.635339141816,85.080801071469,86.04889854992554,29771900
2018-04-06,83.99169158935547,86.0675101244841,83.29354500453462,85.16457273847618,38026000
2018-04-09,84.49433135986328,86.72840133553161,84.35470775668806,84.74566804940403,31533900
2018-04-10,86.4584732055664,86.83081948280658,85.30420613784497,86.00235274445234,26812000
2018-04-11,85.50899505615234,86.84012817408303,85.15527000664252,85.64862579477166,24872100
2018-04-12,87.11006927490234,87.64997094934297,86.03957653472897,86.03957653472897,26758900
2018-04-13,86.64463806152344,87.66858485765094,86.04888694007059,87.54757535238862,23346100
2018-04-16,87.65927124023438,88.11539872531102,86.96112475293991,87.56618646231111,20288100
2018-04-17,89.42790985107422,89.86541611659364,88.32018182577299,88.43188781970773,26771000
2018-04-18,89.77233123779297,90.03297145476608,88.91593282242135,89.56754046676743,21043300
2018-04-19,89.46514892578125,90.3587756089103,88.74838119639071,89.77233509552005,23552500
2018-04-20,88.43189239501953,89.46514981115654,87.54757631183479,89.27898024687985,31154400
2018-04-23,88.75768280029297,89.63269527917079,88.08746108046425,89.12071838154806,22331800
2018-04-24,86.6818618774414,89.80024779301809,86.02095078682584,89.58614643317038,34524800
2018-04-25,85.92787170410156,86.84943022704442,84.03822291978453,86.84943022704442,33729300
2018-04-26,87.7430648803711,88.57153159392529,86.66326141888985,87.0821536314635,42529000
2018-04-27,89.1951904296875,91.13138496116215,87.41724782479778,90.85212353957742,48272800
2018-04-30,87.0542221069336,89.73510955065657,86.70980766867122,89.66994948650577,41523600
